61DFRAAXX100204:1:100:10568:8029	3934
61DFRAAXX100204:1:100:14896:16054	4651
61DFRAAXX100204:1:100:2761:17585	3934
61DFRAAXX100204:1:100:3192:11794	4651
61DFRAAXX100204:1:100:3428:14447	3467
61DFRAAXX100204:1:100:6521:15942	1599,3956,3934
61DFRAAXX100204:1:100:7468:1519	3467
61DFRAAXX100204:1:100:7736:7669	2341,4651
61DFRAAXX100204:1:101:1549:18061	2341
61DFRAAXX100204:1:101:16712:16362	3956,3934
61DFRAAXX100204:1:101:17403:13368	2341
61DFRAAXX100204:1:101:18783:12677	3934
61DFRAAXX100204:1:101:18841:8579	3467
61DFRAAXX100204:1:101:7704:9761	1599
61DFRAAXX100204:1:101:8076:3010	3934
61DFRAAXX100204:1:102:10039:15266	1599
61DFRAAXX100204:1:102:11037:20496	3934
61DFRAAXX100204:1:102:11776:9012	2341
61DFRAAXX100204:1:102:13176:13611	3934
61DFRAAXX100204:1:102:15229:14241	3934
61DFRAAXX100204:1:102:17091:10193	3956,3934
61DFRAAXX100204:1:102:18303:16777	3934
61DFRAAXX100204:1:102:3151:5579	4651
61DFRAAXX100204:1:102:3664:7838	3934,3467
61DFRAAXX100204:1:102:4586:1187	3934,3467
61DFRAAXX100204:1:102:6475:9212	3956,3934
61DFRAAXX100204:1:102:8508:20803	2341
61DFRAAXX100204:1:103:10476:13259	4651,1599
61DFRAAXX100204:1:103:10841:7810	3934
61DFRAAXX100204:1:103:10950:5359	4651
61DFRAAXX100204:1:103:11716:5132	3956,3934
61DFRAAXX100204:1:103:2670:20660	1599
61DFRAAXX100204:1:103:4893:14505	2341
61DFRAAXX100204:1:103:7270:1947	4651,1599
61DFRAAXX100204:1:103:8370:15006	2341
61DFRAAXX100204:1:103:9116:11782	2341,4651
61DFRAAXX100204:1:104:12980:14237	4651
61DFRAAXX100204:1:104:14523:14228	2341
61DFRAAXX100204:1:104:16580:7032	4651
61DFRAAXX100204:1:104:18495:9410	4651
61DFRAAXX100204:1:104:18533:13621	2341
61DFRAAXX100204:1:104:5675:14591	1599,3956
61DFRAAXX100204:1:104:8199:5301	4651
61DFRAAXX100204:1:105:1066:5759	3467
61DFRAAXX100204:1:105:12873:15761	1599
61DFRAAXX100204:1:105:12887:5108	3467
61DFRAAXX100204:1:105:13128:3766	1599
61DFRAAXX100204:1:105:13438:5281	3934
61DFRAAXX100204:1:105:14917:13241	2341
61DFRAAXX100204:1:105:2856:17687	1599
61DFRAAXX100204:1:106:10565:12855	1599
61DFRAAXX100204:1:106:10760:12591	3934
61DFRAAXX100204:1:106:18443:2683	1599
61DFRAAXX100204:1:106:3466:6056	3934
61DFRAAXX100204:1:106:4198:3457	3934,3467
61DFRAAXX100204:1:106:5136:13865	5646
61DFRAAXX100204:1:106:5641:8028	1599
61DFRAAXX100204:1:106:9830:6414	1599
61DFRAAXX100204:1:107:12428:18018	2341,4651
61DFRAAXX100204:1:107:12534:16674	1599
61DFRAAXX100204:1:107:18800:3987	3467
61DFRAAXX100204:1:107:19583:5209	1599
61DFRAAXX100204:1:107:2951:3118	2341,4651
61DFRAAXX100204:1:107:3402:18137	1599
61DFRAAXX100204:1:107:4797:8978	2341
61DFRAAXX100204:1:107:5078:8248	3467
61DFRAAXX100204:1:107:5240:19643	2341,4651
61DFRAAXX100204:1:107:6950:19126	1599,3956
61DFRAAXX100204:1:107:8597:13120	3934
61DFRAAXX100204:1:108:13872:18013	1599
61DFRAAXX100204:1:108:14377:5385	1599
61DFRAAXX100204:1:108:14389:5405	1599
61DFRAAXX100204:1:108:15590:1811	4651
61DFRAAXX100204:1:108:17264:6451	1599
61DFRAAXX100204:1:108:18197:14980	2341
61DFRAAXX100204:1:108:18275:11773	1599
61DFRAAXX100204:1:108:7439:11445	3934
61DFRAAXX100204:1:109:14130:1102	2341
61DFRAAXX100204:1:109:14559:17956	2341
61DFRAAXX100204:1:109:14590:2705	1599
61DFRAAXX100204:1:109:16995:19998	1599
61DFRAAXX100204:1:109:19428:9613	4651
61DFRAAXX100204:1:109:3858:15745	3956,3934
61DFRAAXX100204:1:109:5270:8115	1599
61DFRAAXX100204:1:109:6046:12616	4651
61DFRAAXX100204:1:109:7479:20450	3934
61DFRAAXX100204:1:109:8825:10825	4651
61DFRAAXX100204:1:109:9444:9442	2341
61DFRAAXX100204:1:10:12529:10134	1599
61DFRAAXX100204:1:10:16596:11766	1599,5646
61DFRAAXX100204:1:10:17620:8318	4651
61DFRAAXX100204:1:10:19574:4662	2341
61DFRAAXX100204:1:10:3302:6953	2341
61DFRAAXX100204:1:10:4419:7089	1599
61DFRAAXX100204:1:10:6783:21111	1599
61DFRAAXX100204:1:110:12477:5416	3934,3467
61DFRAAXX100204:1:110:14559:14157	3934
61DFRAAXX100204:1:110:15057:1586	3934,3467
61DFRAAXX100204:1:110:17634:18055	3934
61DFRAAXX100204:1:110:19725:8493	3934
61DFRAAXX100204:1:110:7016:11898	3934
61DFRAAXX100204:1:111:12978:10272	2341
